Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.00     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n_1<true>::__uninit_default_n<Point*, unsigned long>(Point*, unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  RouteRequest& std::vector<RouteRequest, std::allocator<RouteRequest> >::emplace_back<RouteRequest>(RouteRequest&&)
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::end()
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::back()
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::push_back(RouteRequest&&)
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_max_size(std::allocator<Point> const&)
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_check_init_len(unsigned long, std::allocator<Point> const&)
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_default_initialize(unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector(unsigned long, std::allocator<Point> const&)
  0.00      6.00     0.00     1200     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      6.00     0.00     1200     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars<char const*>(char*, char const*, char const*)
  0.00      6.00     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      6.00     0.00     1200     0.00     0.00  void std::_Construct<Point>(Point*)
  0.00      6.00     0.00     1200     0.00     0.00  _ZSt12construct_atI12RouteRequestJS0_EQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S1_pispcl7declvalIT0_EEEEEPS1_S4_DpOS3_
  0.00      6.00     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n<Point*, unsigned long>(Point*, unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n_a<Point*, unsigned long, Point>(Point*, unsigned long, std::allocator<Point>&)
  0.00      6.00     0.00     1200     0.00     0.00  void std::_Destroy<Point*>(Point*, Point*)
  0.00      6.00     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      6.00     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      6.00     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
